ask,bid,change,contract_name,expiration,implied_volatility,last_trade,open_interest,perc_change,strike,volume
0.00,5.20,0.00,,"June 18, 2021",0,2020-08-07 3:59PM EDT,9,,,
0.00,87.60,0.00,,"June 17, 2022",0,2020-08-06 3:40PM EDT,2,,,
0.00,51.57,0.00,,"September 17, 2021",0,2020-08-06 11:59AM EDT,3,,,
0.00,47.15,0.00,,"September 17, 2021",0,2020-08-04 3:18PM EDT,118,,,
0.00,100.43,0.00,,"January 21, 2022",0,2020-08-05 1:45PM EDT,1,,,
0.00,96.00,0.00,,"January 21, 2022",0,2020-08-07 3:46PM EDT,3,,,
0.00,64.50,0.00,,"March 18, 2022",0,2020-07-23 9:34AM EDT,1,,,
0.00,64.00,0.00,,"March 18, 2022",0,2020-08-03 10:37AM EDT,3,,,
0.00,0.18,0.00,,"August 14, 2020",0,2020-08-07 3:56PM EDT,43,,,
0.00,0.17,0.00,,"August 14, 2020",0,2020-08-07 3:59PM EDT,503,,,
0.00,96.00,0.00,,"September 16, 2022",0,2020-08-07 2:36PM EDT,7,,,
0.00,96.50,0.00,,"September 16, 2022",0,2020-08-06 3:47PM EDT,4,,,
0.00,4.03,0.00,,"June 18, 2021",0,2020-08-07 12:03PM EDT,3,,,
0.00,3.60,0.00,,"June 18, 2021",0,2020-08-07 3:50PM EDT,152,,,
0.00,70.85,0.00,,"June 17, 2022",0,2020-07-31 11:20AM EDT,1,,,
0.00,45.35,0.00,,"September 17, 2021",0,2020-08-06 11:41AM EDT,1,,,
0.00,42.00,0.00,,"September 17, 2021",0,2020-08-05 2:59PM EDT,1,,,
0.00,40.40,0.00,,"September 17, 2021",0,2020-08-07 9:43AM EDT,1,,,
0.00,92.10,0.00,,"January 21, 2022",0,2020-08-06 10:23AM EDT,2,,,
0.00,87.30,0.00,,"January 21, 2022",0,2020-08-05 11:39AM EDT,1,,,
0.00,52.42,0.00,,"March 18, 2022",0,2020-07-27 1:03PM EDT,1,,,
0.00,60.00,0.00,,"March 18, 2022",0,2020-08-07 11:18AM EDT,10,,,
0.00,57.10,0.00,,"March 18, 2022",0,2020-08-03 2:38PM EDT,1,,,
0.00,54.52,0.00,,"March 18, 2022",0,2020-08-03 3:54PM EDT,7,,,
0.00,0.14,0.00,,"August 14, 2020",0,2020-08-07 3:55PM EDT,215,,,
0.00,0.10,0.00,,"August 14, 2020",0,2020-08-07 3:59PM EDT,"1,678",,,
0.00,0.08,0.00,,"August 14, 2020",0,2020-08-07 3:59PM EDT,502,,,
0.00,90.00,0.00,,"September 16, 2022",0,2020-08-07 1:00PM EDT,7,,,
0.00,85.80,0.00,,"September 16, 2022",0,2020-08-07 1:09PM EDT,17,,,
0.00,82.50,0.00,,"September 16, 2022",0,2020-08-05 2:32PM EDT,4,,,
0.00,77.12,0.00,,"September 16, 2022",0,2020-08-04 10:37AM EDT,5,,,
0.00,0.27,0.00,,"June 18, 2021",0,2020-08-05 9:54AM EDT,2,,,
0.00,0.36,0.00,,"June 18, 2021",0,2020-08-06 2:09PM EDT,2,,,
0.00,67.80,0.00,,"June 17, 2022",0,2020-07-27 1:23PM EDT,2,,,
0.00,75.55,0.00,,"June 17, 2022",0,2020-08-07 10:52AM EDT,2,,,
0.00,71.97,0.00,,"June 17, 2022",0,2020-08-07 10:51AM EDT,2,,,
0.00,36.50,0.00,,"September 17, 2021",0,2020-08-07 2:15PM EDT,26,,,
