ask,bid,change,contract_name,expiration,implied_volatility,last_trade,open_interest,option_type,perc_change,strike,volume
66.80,72.00,67.55,MSFT200918C00140000,"September 18, 2020","2,507",2020-08-07 2:03PM EDT,2,call,0.00,140.00,-
61.75,67.60,62.85,MSFT200918C00145000,"September 18, 2020","1,184",2020-08-07 3:21PM EDT,25,call,0.00,145.00,-
56.90,56.66,57.85,MSFT200918C00150000,"September 18, 2020","2,622",2020-08-10 9:38AM EDT,7,call,-5.29,150.00,-8.54%
0.08,0.16,0.21,MSFT210115P00075000,"January 15, 2021","2,020",2020-08-06 3:19PM EDT,1,put,+0.01,75.00,+6.67%
0.15,0.18,0.27,MSFT210115P00080000,"January 15, 2021","7,376",2020-07-27 11:59AM EDT,2,put,0.00,80.00,-
0.18,0.20,0.33,MSFT210115P00085000,"January 15, 2021","2,827",2020-08-04 1:52PM EDT,10,put,0.00,85.00,-
0.23,0.24,0.38,MSFT210115P00090000,"January 15, 2021","5,941",2020-08-05 11:25AM EDT,201,put,0.00,90.00,-
0.27,0.30,0.42,MSFT210115P00092500,"January 15, 2021","1,653",2020-07-28 1:19PM EDT,19,put,0.00,92.50,-
0.31,0.35,0.46,MSFT210115P00095000,"January 15, 2021","3,683",2020-08-05 2:48PM EDT,2,put,0.00,95.00,-
0.35,0.30,0.50,MSFT210115P00097500,"January 15, 2021","2,745",2020-08-03 2:05PM EDT,1,put,0.00,97.50,-
0.40,0.50,0.55,MSFT210115P00100000,"January 15, 2021","12,737",2020-08-10 10:51AM EDT,2,put,+0.05,100.00,+11.11%
0.51,0.65,0.66,MSFT210115P00105000,"January 15, 2021","15,878",2020-08-10 10:38AM EDT,10,put,+0.10,105.00,+18.18%
0.65,0.73,0.81,MSFT210115P00110000,"January 15, 2021","8,539",2020-08-07 3:37PM EDT,1,put,+0.06,110.00,+8.96%
9.30,9.88,9.90,MSFT210319C00245000,"March 19, 2021",29,2020-08-10 11:04AM EDT,1,call,-1.00,245.00,-9.19%
8.40,8.80,8.75,MSFT210319C00250000,"March 19, 2021","2,074",2020-08-10 11:10AM EDT,68,call,-1.18,250.00,-11.82%
6.60,6.90,6.85,MSFT210319C00260000,"March 19, 2021","1,186",2020-08-10 11:30AM EDT,70,call,-0.60,260.00,-8.00%
5.00,5.30,5.40,MSFT210319C00270000,"March 19, 2021",745,2020-08-10 10:58AM EDT,8,call,-0.92,270.00,-14.79%
4.00,4.15,4.20,MSFT210319C00280000,"March 19, 2021","2,861",2020-08-10 11:30AM EDT,57,call,-0.70,280.00,-14.43%
0.09,0.18,0.24,MSFT210319P00065000,"March 19, 2021","1,296",2020-08-07 3:04PM EDT,10,put,0.00,65.00,-
0.14,0.17,0.28,MSFT210319P00070000,"March 19, 2021",86,2020-08-05 2:42PM EDT,1,put,0.00,70.00,-
